date_releve;moteur;bloc;requete;surface;rang_source;url_citee;domaine_cite;famille_source;conditions_session;observation
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;1;https://mappy.com/;mappy.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Entite nommee 'SARL Rushiti' dans la synthese, aucune URL RUSHITI dans les sources
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;2;https://nuances-deco.fr/;nuances-deco.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;3;https://peintre-besancon.net.fr/;peintre-besancon.net.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;4;https://peinture-mairey.fr/;peinture-mairey.fr;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;5;https://allovoisins.com/;allovoisins.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;6;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;7;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre Besancon;M;8;https://daniel-henriet-peinture.com/;daniel-henriet-peinture.com;concurrent;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;1;https://yoojo.fr/;yoojo.fr;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);Avis clients de 'SARL Rushiti' cites sans lien vers le site
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;2;https://peintures-natura.fr/;peintures-natura.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;3;https://pagesjaunes.fr/;pagesjaunes.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;4;https://travaux.com/;travaux.com;plateforme de devis;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;5;https://plus-que-pro.fr/;plus-que-pro.fr;comparatif tiers;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;6;https://pagespro.com/;pagespro.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;peintre en batiment Besancon avis;M;7;https://peintreinfo.com/;peintreinfo.com;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
2026-08-23;recherche web (releve agent);panel;plaquiste Besancon;0;1;https://besancon.localpartner.fr/;besancon.localpartner.fr;annuaire;session neuve, non connecte, moteur de recherche localise US (limite de l'outil);
