page;service;zone;palier;mots;zone_soeur;pct_unique_vs_soeur;pct_unique_vs_pilier;faq
/toile-de-verre-centre-ville;toile-de-verre;centre-ville;A;1844;battant;10;28;6
/lino-vinyle-lvt-centre-ville;lino-vinyle-lvt;centre-ville;A;1840;battant;11;28;6
/ratissage-enduit-centre-ville;ratissage-enduit;centre-ville;A;1818;battant;11;30;6
/faux-plafonds-centre-ville;faux-plafonds;centre-ville;A;1773;battant;12;30;6
/parquet-flottant-centre-ville;parquet-flottant;centre-ville;A;1766;battant;12;29;6
/sol-pvc-centre-ville;sol-pvc;centre-ville;A;1699;battant;12;30;6
/cloisons-centre-ville;cloisons;centre-ville;A;1732;battant;13;30;6
/doublage-murs-centre-ville;doublage-murs;centre-ville;A;1820;battant;13;29;6
/isolation-centre-ville;isolation;centre-ville;A;1766;battant;13;33;6
/papier-peint-centre-ville;papier-peint;centre-ville;A;1702;battant;13;31;6
/peinture-exterieure-centre-ville;peinture-exterieure;centre-ville;A;1989;battant;13;32;6
/platrerie-centre-ville;platrerie;centre-ville;A;1602;battant;13;92;6
/ragreage-sol-centre-ville;ragreage-sol;centre-ville;A;1714;battant;13;30;6
/ragreage-sol-chaprais;ragreage-sol;chaprais;A;1683;battant;13;28;6
/toile-de-verre-chaprais;toile-de-verre;chaprais;A;1823;battant;13;28;6
/toile-de-verre-saint-ferjeux;toile-de-verre;saint-ferjeux;A;1816;battant;13;27;6
/vitrification-parquet-centre-ville;vitrification-parquet;centre-ville;A;1680;battant;13;30;6
/isolation-interieure-centre-ville;isolation-interieure;centre-ville;A;1847;battant;14;31;6
/lino-vinyle-lvt-bregille;lino-vinyle-lvt;bregille;A;1827;battant;14;28;6
/lino-vinyle-lvt-saint-ferjeux;lino-vinyle-lvt;saint-ferjeux;A;1810;battant;14;27;6
/parquet-flottant-chaprais;parquet-flottant;chaprais;A;1741;battant;14;28;6
/ratissage-enduit-chaprais;ratissage-enduit;chaprais;A;1804;battant;14;29;6
/revetements-sol-centre-ville;revetements-sol;centre-ville;A;1589;battant;14;88;6
/toile-de-verre-bregille;toile-de-verre;bregille;A;1831;battant;14;28;6
