zone;palier;pages_actuelles;pages_conservees_proposees;pages_a_consolider
amagney;C;18;5;13
arcon;C;18;5;13
arguel;C;18;5;13
audeux;C;18;5;13
avanne-aveney;B;18;10;8
battant;A;18;18;0
besancon;A;18;18;0
beure;B;18;10;8
boussieres;B;18;10;8
braillans;C;18;5;13
bregille;A;18;18;0
busy;C;18;5;13
butte-grette;A;18;18;0
centre-ville;A;18;18;0
chaleze;C;18;5;13
chalezeule;B;18;10;8
champagney;C;18;5;13
champoux;C;18;5;13
champvans-les-moulins;C;18;5;13
chaprais;A;18;18;0
chatillon-le-duc;B;18;10;8
chaucenne;C;18;5;13
chaudefontaine;C;18;5;13
chemaudin;C;18;5;13
dannemarie-sur-crete;B;18;10;8
deluz;C;18;5;13
doubs-25300;C;18;5;13
ecole-valentin;B;18;10;8
fontain;C;18;5;13
franois;B;18;10;8
gennes;C;18;5;13
grandfontaine;B;18;10;8
gratteris;C;18;5;13
houtaud;C;18;5;13
la-chevillotte;C;18;5;13
la-veze;C;18;5;13
larnod;C;18;5;13
les-auxons;C;18;5;13
mamirolle;B;18;10;8
marchaux;B;18;10;8
mazerolles-le-salin;C;18;5;13
miserey-salines;B;18;10;8
montbeliard;B;18;10;8
montfaucon;B;18;10;8
montferrand-le-chateau;B;18;10;8
montrapon;A;18;18;0
morre;B;18;10;8
nancray;C;18;5;13
noironte;C;18;5;13
novillars;B;18;10;8
osselle-routelle;C;18;5;13
palente;A;18;18;0
pelousey;C;18;5;13
pirey;B;18;10;8
planoise;A;18;18;0
pontarlier;B;18;10;8
pouilley-les-vignes;B;18;10;8
pugey;C;18;5;13
rancenay;C;18;5;13
roche-lez-beaupre;B;18;10;8
saint-claude;A;18;18;0
saint-ferjeux;A;18;18;0
saone;B;18;10;8
serre-les-sapins;B;18;10;8
tallenay;C;18;5;13
thise;B;18;10;8
thoraise;C;18;5;13
tilleroyes;A;18;18;0
torpes;C;18;5;13
vaire-arcier;C;18;5;13
vaire-le-petit;C;18;5;13
vaite-clairs-soleils;A;18;18;0
vaux-les-pres;C;18;5;13
velotte;A;18;18;0
vorges-les-pins;C;18;5;13
vuillecin;C;18;5;13
