silo;pivot;intencion;faqja;dytesoret;niveli_zone;deshmia;vellimi;veshtiresia;skor_kanibalizimi;statusi;verdikti_data;agjenti
Peinture;peintre besançon;Komerciale/lokale;/peinture-interieure-besancon;entreprise de peinture besançon · peinture appartement besançon · peintre en bâtiment besançon;A;faqja 189 impr poz 24,8 - kërkesat: 20 impr poz 4,4 (peintre besançon) + 37 impr poz 3,3 (entreprise de peinture à besançon) + 7 impr poz 1,3 (peintre en batiment) (GSC 17/05-16/08/2026);PV;mesatare;PV;i caktuar;21/08/2026 - title i lexuar në KODIN HTML të faqes live (Firecrawl mbi burimin, jo SERP): «Peintre à Besançon — peinture intérieure, devis sous 48 h» me provat 20 ans + 34 avis 4,7/5 - formulim i ndryshëm nga dega e 20/08: prodhimi është përditësuar veçmas;rushiti-regression-seo (matje 4-6 javë)
Peinture;peinture intérieure <zonë>;Komerciale/lokale;peinture-interieure-<zonë> (grilë);trashëgim: pivot pilar + emri i zonës;A-C;PV;PV;e ulët;PV;i caktuar;20/08/2026 - ruhet në të tre nivelet;-
Peinture;ravalement façade besançon;Komerciale/lokale;/ravalement-facade-besancon DHE /peinture-exterieure-besancon;peinture façade besançon · crépi façade besançon;A;/peinture-exterieure-besancon 59 impr poz 15,1 - /ravalement-facade-besancon pa impresione të matura (GSC 17/05-16/08/2026);PV;mesatare;PV;në konflikt;20/08/2026 - verdikt i pezulluar: kërkon kryqëzimin kërkesë × faqe nga GSC përpara se t'i hiqet cibli të vetmes faqe që shihet;rushiti-cannibal-check
Peinture;peinture façade isolée par l'extérieur besançon;Komerciale/niche;/peinture-facade-isolation-exterieure-besancon;peinture façade ITE · ravalement façade isolée;A;PV;PV;e ulët;PV;i caktuar;20/08/2026 - niche e mirë, mbahet e dallueshme - analizë NeuronWriter e 18/08/2026 (relevë API 21/08);-
Peinture;papier peint besançon;Komerciale/lokale;papier-peint-<zonë> (grilë);pose papier peint · tapissier besançon · papier peint intissé;A-B;faqja pilar 181 impr poz 14,1 (GSC 17/05-16/08/2026);PV;e ulët;PV;në matje;21/08/2026 pasdite - dé-duplikimi I SHPËRNDARË PLOTËSISHT: 40/40 URL të verifikuara në kodin HTML live (workflow 36 + 4 rikontrolle) - shpërndarja po propagandohej gjatë sesionit (Boussières kaloi nga ❌ në ✅ brenda orës) - inventari në docs/seo/korrigjime-prodhim/;rushiti-regression-seo (matje efekti 4-6 javë)
Peinture;toile de verre besançon;Komerciale/lokale;toile-de-verre-<zonë> (grilë);pose toile de verre plafond · fibre de verre à peindre;A-B;faqja pilar 83 impr poz 36,4 + 14 impr IA (GSC/Drive 19/08/2026);PV;e ulët;PV;në matje;20/08/2026 - mbetet e vetmja mbajtëse e ciblit pas dé-duplikimit - matje pas 4-6 javësh;rushiti-regression-seo
Peinture;ratissage enduit de lissage besançon;Komerciale/teknike;ratissage-enduit-<zonë> (grilë);enduit de lissage mur · préparation murs avant peinture;A-C;faqja pilar 387 impr poz 18,6 + 24 impr IA (Drive 19/08/2026);PV;e ulët;PV;i caktuar;20/08/2026 - cibël teknike e saktë, e dallueshme nga bojatisja;-
Peinture;enduit à la chaux besançon;Komerciale/niche bâti ancien;-;chaulage mur ancien · enduit chaux pierre;-;30 impr poz 5,8 me 0 klikime pa asnjë faqe të dedikuar (GSC 17/05-16/08/2026);PV;e ulët;PV;për arbitrazh;21/08/2026 - kërkesë reale e pambuluar - vendim i Isufit: a ofrohet enduit à la chaux?;PORTA para çdo krijimi
Peinture;renov bois besançon;Komerciale/e paqartë;-;rénovation boiseries · peinture boiserie besançon;-;58 impr poz 6,2 me 0 klikime (GSC 17/05-16/08/2026) - ndoshta trashëgimi WordPress (restauration meubles 78 impr);PV;e ulët;PV;për arbitrazh;21/08/2026 - vendim i Isufit: a mbulohet druri/boiseries si ofertë më vete?;PORTA + rushiti-indexation
Peinture;prix peinture m² besançon;Transaksionale/informative;/blog/prix-peinture-interieure-besancon-2026;prix peinture appartement · tarif peintre m²;-;PV;PV;mesatare;PV;i caktuar;20/08/2026 - artikull që punon si faqe çmimi - forco maillage-in hyrës;rushiti-maillage-interne
